V043093,V043247
1. John Kerry,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
1. John Kerry,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
8. Don't know,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,7. None
1. John Kerry,7. None
8. Don't know,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,6. Other
8. Don't know,7. None
8. Don't know,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
1. John Kerry,2. Catholic
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,7. None
3. George W. Bush,2. Catholic
1. John Kerry,1. Protestant
1. John Kerry,1. Protestant
1. John Kerry,2. Catholic
1. John Kerry,2. Catholic
3. George W. Bush,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
8. Don't know,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,7. None
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
8. Don't know,
1. John Kerry,7. None
3. George W. Bush,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
1. John Kerry,1. Protestant
3. George W. Bush,7. None
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,7. None
3. George W. Bush,2. Catholic
8. Don't know,1. Protestant
1. John Kerry,2. Catholic
1. John Kerry,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
1. John Kerry,7. None
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
8. Don't know,1. Protestant
8. Don't know,1. Protestant
1. John Kerry,2. Catholic
3. George W. Bush,4. Jewish
3. George W. Bush,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,1. Protestant
3. George W. Bush,4. Jewish
1. John Kerry,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
1. John Kerry,7. None
3. George W. Bush,2. Catholic
1. John Kerry,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,7. None
1. John Kerry,1. Protestant
1. John Kerry,1. Protestant
3. George W. Bush,2. Catholic
3. George W. Bush,2. Catholic
8. Don't know,2. Catholic
1. John Kerry,2. Catholic
3. George W. Bush,2. Catholic
1. John Kerry,1. Protestant
3. George W. Bush,1. Protestant
1. John Kerry,1. Protestant
8. Don't know,1. Protestant
1. John Kerry,1. Protestant
1. John Kerry,1. Protestant
8. Don't know,1. Protestant
8. Don't know,2. Catholic
1. John Kerry,1. Protestant
1. John Kerry,2. Catholic
3. George W. Bush,2. Catholic
3. George W. Bush,1. Protestant
3. George W. Bush,2. Catholic
